嗰啲一當係自己屋。\n,		
      一間正跟你講。\n,		
      你咁有力，一講做咩冇去搬磚？\n,		
      你係自己去一係我送你去？\n,		
      我一係你就直接執衫包走人。\n,		
      一係落雨就收衫回來。\n,		
      一係當初早尐買入就好嘹。\n,		
      一冇我哋去睇電影？\n,		
      快啲起身喴，一冇遲到咯。\n,		
      你去一𡃀，我冇去。\n,		
      我未去一𡃀，一冇邊輪到佢攞獎。\n,		
      我一願搭飛機去。\n,		
      一世界人。\n,		
      年底一世界工做。\n,		
      等多一陣都冇死得你哇？\n,		
      我一陣間就到啦。\n,		
      今日去隻所謂國際美食節一終係賣啲羊肉串噶。\n,		
      我今晚一咀捉啲工做齊去。\n,		
      隻嘢講話啞喫嘅。\n,		
      就噉定嘹，你冇使再啊吱啊啜嘹。\n,		
      度副詞，尚、還:我見佢亞蠻靚妹哇！\n,		
      我屋挨到佢屋。\n,		
      挨年近晚，要小心賊佬。\n,		
      幾年前佢仲矮垤垤到，而今生到一米八嘹。\n,		
      鹹蝦臭，留畀阿儂做晏晝。\n,		
      睡晏晝覺。\n,		
      冇得跟嗰啲冇正經嘅人嚶嚶耍耍。\n,		
      聽佢講嘢一當鴨聽雷。\n,		
      我哋拗手骨睇邊人大力。\n,		
      我隻仔從細就好拗頸，講冇聽噶！\n,		
      哎呀，咁竄係冇？\n,		
      哎呀，跳得夠高哦！\n,		
      揞到面。\n,		
      我細陣時最中意在隔籬屋耍揞面廋雞哦。\n,		
      今晚冇有月光，外頭暗埲埲到。\n,		
      種了樹之後要罯土。\n,		
      幫舀一甌仔飯畀我喂。\n,		
      捉啲屎屎尿尿存到留來漚肥。\n,		
      漚雨漚了成隻星期咯，抵力哦！\n,		
      考得七百幾分，夠巴閉啦！\n,		
      一隻月領幾千文工資，有咩咁巴閉？\n,		
      你睇你煮得啲飯巴竭竭。\n,		
      佢讀咁多書，有佢做把簿你就放心啦！\n,		
      幫我霸定隻位置。\n,		
      記得提前半隻鐘頭去霸場喎！\n,		
      最後一鋪同點都要搏噶喇，輸了罷就！\n,		
      我已經撈你講過嘹，冇聽罷自就。\n,		
      阿婆，咁早就去擺街啦？\n,		
      佢乜嘢都冇識做，一日到黑坐在辦公室啲擺景。\n,		
      飯都熟了仲未擺檯？\n,		
      佢老婆大肚嘹，所以趕到擺酒。\n,		
      我好多年冇回過村頭拜山咯！\n,		
      佢上課一直在啲拜眼瞇。\n,		
      而今啲細佬哥越來越百厭嘹。\n,		
      使齊錢嘹，衹能白白望人家耍嘹。\n,		
      白薯䊦，又得食，又得捏。\n,		
      白果豬肚煲。\n,		
      我班輩係「揚」字輩。\n,		
      坐監獄。\n,		
      以前啲爛仔打交使𢴬炮噶。\n,		
      等下你出街順便𢴬丟啲垃圾去。\n,		
      你絕對識係邊人做噶，冇使跟我扮嘢。\n,		
      佢一日到黑鋪憂鬱板，好扮嘢。\n,		
      隻嘢識精哦，扮豬食老虎攞走齊啲錢。\n,		
      洗淨八月十五等食藤條燜豬肉！\n,		
      隻死八婆真係百厭！\n,		
      你哋先走，我包㞘。\n,		
      塊玻璃爆罅嘹。\n,		
      間店生意好哦，日日都爆滿。\n,		
      又輸十杯，爆莊嘹。\n,		
      佢十幾年前貪污嘅事而今正着爆戳出來。\n,		
      跌跛腳。\n,		
      失戀咡囉，冇使咁閉翳哇！\n,		
      弊稍哦，我出來冇記得帶鎖匙嘹。\n,		
      翻北風。\n,		
      隻嘢夠笨𫵱嘅，照抄都抄錯！\n,		
      畀佢憑到老板正得咁風氣。\n,		
      佢耍堆爛泥耍得不知樂乎。\n,		
      嗰煲羹着煲焦嘹。\n,		
      佢報牌了哇，出最大嘅頂喎！\n,		
      諗壞啲裨腸。\n,		
      諗壞啲腸。\n,		
      要扁粉一係圓粉？\n,		
      冇咁多時間撈你絣牙花。\n,		
      今日咁多人來，真係好畀面。\n,		
      畀心機讀書啦！\n,		
      舊時新年燒炮𠻋哩𠵔𠼖到！\n,		
      隻人講話冇識幾逼頸。\n,		
      手機壞嘹，逼到要去買部新嘅。\n,		
      今晚煏燒烤啊。\n,		
      你幫邊邊？\n,		
      你去邊啲？\n,		
      邊啲係你嘅書？\n,		
      邊個講噶？\n,		
      邊人講我壞話？\n,		
      你徛佢邊頭。\n,		
      邊隻鬼打偷了我拖鞋？\n,		
      幫我摒走堆嘢去。\n,		
      一放學幫儂仔就猋唅唅噉出來。\n,		
      嗰堆火燒得幾紅，火星熛撒撒到。\n,		
      又畀你搏錯贏了一盤。\n,		
      跟你講話真係搏氣哦。\n,		
      佢為了爭第一名好搏命。\n,		
      嗰條衫薄𠯦𠯦到。\n,		
      多謝各位街坊幫襯。\n,		
      幫手整菜。\n,		
      望咩望！快啲磅水！\n,		
      昨晚買豬腳粉老闆冇記得補錢畀我嘹。\n,		
      佢成日做錯事要我幫佢補鑊。\n,		
      我背脊啲生了粒米粒瘡。\n,		
      我本身冇想來噶。\n,		
