繁,綜,釋義
南？,naam4?,（～粉）一種米粉，近似米線
墩？,dan1,頰：[欽]面～｜[穗]面珠～
瓦,ngaa5,泛指陶瓷材質的：缸～｜～缸｜缸～窯
較,gaau3,練兵：～場｜[欽]大～場(一地名)
細,sai3,小
儉,!gen6,（慳～）節儉
疑,ngi4,（思～）懷疑
䗛,suk1,（百～）蜈蚣
曉,!heu2,知
,daem3?,錨，?
濌,dap6,重貌：重～～
便,!bin6,方位代詞，指明方向，本作“邊”：邊～？｜南～。
,!lyut1,（黑～～）黑貌。
,!bet6,形容成糊狀或軟爛：腍～～｜溶～～｜腍～劣｜[立]溶～膉。
校,!gaau3,摻，調：～一尐水落泥裏頭。
米,mai5,指錢財：你真係有～。
,!,（～悠）安閒從容貌。
修,!,（～悠）安閒從容貌。
,shoi6,（～hoi3）①傻、笨拙狀；②[戎]頹靡、有氣無力的樣子；③[順]手腳不靈活。
,bet6,形容味寡：淡～～｜[欽]淡～劣(let4)澈(zet4)。
揦,laa2,（～脷）令人覺得誇張：買咁貴啲嘢，真係～囉。
,！kik1/kak1,一節、一段：斬～蔗落來。
斗,!dau2,（正～）確實、的確，蘊含嫌憎﹑不滿情緒：正～白癡。
式？,!shik1,（正～）確實、的確，蘊含嫌憎﹑不滿情緒：正～白癡。
一,!jat1,（正～）確實、的確，蘊含嫌憎﹑不滿情緒：正～白癡。
,!shap1,小混混：老～｜老～仔｜老～妹。
㗾？,!hoe4,快速樣貌：～～聲搞扂嘥。
,!hang3,蠢、腦子有問題：你都～嘅｜一睇就知傻～～冇藥醫。
燕,!jin3,毽子。
戾？,!lai2,（冤～）無辜的人被誣指爲有罪，無過錯的人受到指責，冤枉。
戾？,!lai2,①扭轉（身體等）：～身就走｜～轉個頭；②曲：拗～條鐵枝。
指,!zhi2,（～擬）指望：你冇使～佢做。
擬,!nji5,（指～）指望：你冇使～佢做。
搙？,!nuk6,（用筷子）夾斷、切斷：～開䊆餅，一人一半啦！
鬼,!gwai2,①鬼魂：水～｜替死～；②外國人，外國人的：～佬｜～妹；③插在雙音節詞中或與“咁”合用，表示加強語氣：麻～煩｜～咁熱｜咁～死熱；④詈語，指人：窮～｜衰～。
