"simplified";"traditional";"pinyin";"description"
"一当";"一當";"ah1 dong3";"就像，就当作：嗰啲~系自己屋。"
"一间";"一間";"ah1 gaan1";"等一下：～正跟你讲。"
"一咁";"一咁";"ah1 gam2";"既然如此"
"一讲";"一講";"ah1 gong2";"既然如此，那么：你咁有力，～做咩冇去搬砖？"
"一系";"一係";"ah1 hai4";"①表示选择：你系自己去～我送你去？②表示虚拟判断，倘若是：我～你就直接执衫包走人；③表示虚拟，倘若：～落雨就收衫回来|～当初早啲买入就好了"
"一下";"一下";"ah1 haa2";"瞬时体标记，表示动作持续时间短暂。亦可省去“一”，前字变高升调。"
"一冇";"一冇";"ah1 mau2";"①要不，表示提议做某事：～我哋去睇电影？②否则：快啲起身喴，～迟到咯。"
"一𡃀";"一𡃀";"ah1 nge4";"①尾助词，标明观点：你去～，我冇去；②尾助词，标明原因：我未去～，一冇边轮到佢攞奖。"
"一愿";"一願";"ah1 njin4";"宁愿，更情愿。亦可省去“一”，前字变高升调：我～搭飞机去。"
"一世界";"一世界";"ah1 sai3 gaai3";"①到处，满地：～人；②形容数量极多：年底～工做。"
"一阵";"一陣";"ah1 zan4";"短时体标记，表示动作持续时间短暂。亦可省去“一”，前字变高升调：等多~都冇死得你哇？"
"一阵仔";"一陣仔";"ah1 zan4 zai2";"同“一阵”。"
"一阵间";"一陣間";"ah1 zan4 gaan1";"一下子，短时间内：我～就到啦。"
"一终";"一終";"ah1 zung1";"全部，几乎：今日去只所谓国际美食节～系卖啲羊肉串噶。"
"一总";"一總";"ah1 zung2";"全部，几乎"
"一咀";"一咀";"ah1 zui2";"一次性，不重复：我今晚～捉啲工做齐去。"
"哑吃";"啞喫";"aa2 gat1";"口吃：只嘢讲话～嘅。"
"哑吃佬";"啞喫佬";"aa2 gat1 lau2";"口吃的人"
"哑仔";"啞仔";"aa2 zai2";"哑巴"
"哑仔食到黄莲";"啞仔食到黃蓮";"aa2 zai2 sik4 dau3 wong4 lin4";"比喻有苦难言"
"𦫪色";"𦫪色";"aa2 sik1";"颜色暗淡，缺乏光泽"
"阿爸";"阿爸";"aa3 baa4";"爸爸"
"阿伯";"阿伯";"aa3 baak3";"父亲的哥哥"
"阿公";"阿公";"aa3 gung1";"爷爷"
"阿嬷";"阿嬤";"aa3 maa1";"奶奶"
"阿㜷";"阿㜷";"aa3 me1";"母亲，多见于詈语。"
"阿叔";"阿叔";"aa3 suk1";"①父亲的弟弟；②大叔"
"阿婆";"阿婆";"aa3 po4";"①奶奶；②老妇人。"
"阿姑";"阿姑";"aa3 gu1";"父亲的姐妹"
"阿嫂";"阿嫂";"aa3 slau2";"哥哥的妻子"
"阿婶";"阿嬸";"aa3 sam2";"叔父的妻子"
"阿祖";"阿祖";"aa3 zu2";"祖父之父辈"
"啊吱啊啜";"啊吱啊啜";"aa3 zi1 aa3 zot1";"废话多，啰嗦：就噉定了，你冇使再~了。"
"亚蛮";"亞蠻";"aa3 maan4";"程度副词，尚、还:我见佢～靓妹哇！"
"挨凭";"挨憑";"aai1 bang4";"倚靠，靠山"
"挨到";"挨到";"aai1 dau3";"靠着，靠近：我屋~佢屋"
"挨近";"挨近";"aai1 kan2";"靠近"
"挨晚";"挨晚";"aai1 maan2";"傍晚时分"
"挨年近晚";"挨年近晚";"aai1 nin4 kan2 maan2";"接近年关：～，要小心贼佬。"
"矮凳";"矮凳";"aai2 dang3";"小板凳"
"矮垤垤";"矮垤垤";"aai2 det4 det4";"形容人又矮又小：几年前佢仲～到，而今生到一米八了。"
"矮瓜";"矮瓜";"aai2 gwaa1";"官话茄子（学名：Solanum melongena），茄科茄属一年生草本植物的果实，熟果皮光滑深紫色。"
"矮瓜色";"矮瓜色";"aai2 gwaa1 sik1";"紫色"
"矮仔";"矮仔";"aai2 zai2";"身材矮小的人"
"矮踭鞋";"矮踭鞋";"aai2 zaang1 haai4";"鞋跟较短的鞋子"
"晏昼";"晏晝";"aan3 zau3";"①中午；②午饭：咸虾臭，留畀阿侬做～。"
"晏昼觉";"晏晝覺";"aan3 zau3 geu3";"午觉：睡～。"
"嘤嘤耍耍";"嚶嚶耍耍";"aang1 aang1 saa2 saa2";"打打闹闹：冇得跟嗰啲冇正经嘅人～。"
"鸭店";"鴨店";"aap3 dim3";"男妓院"
"鸭公";"鴨公";"aap3 gung1";"①雄性鸭子；②男妓。"
"鸭乸";"鴨乸";"aap3 naa2";"母鸭"
"鸭听雷";"鴨聽雷";"aap3 teng1 lui4";"比喻听不懂对方的话或听后无反应：听佢讲嘢一当～。"
"鸭颈";"鴨頸";"aap3 geng2";"鸭脖子"
"拗手骨";"拗手骨";"aau3 sau2 gwat1";"掰手腕：我哋～睇边人大力。"
"拗颈";"拗頸";"aau3 geng2";"形容人执拗，劝不听：我只仔从细就好～，讲冇听噶！"
"詏颈";"詏頸";"aau3 geng2";"同“拗颈”"
"哎呀";"哎呀";"ai1 jaa1";"叹词，表示愤怒：～，咁窜系冇？"
"哎呀";"哎呀";"ai1 jaa2";"叹词，表示惊讶：~，跳得够高哦！"
"揞到";"揞到";"am2 dau3";"捂住，遮挡：～面。"
"揞面廋鸡";"揞面廋雞";"am2 min4 sau1 gai1";"捉迷藏：我细阵时最中意在隔篱屋耍～哦。"
"暗埲埲";"暗埲埲";"am3 bung4 bung4";"形容光线昏暗：今晚冇有月光，外头～到。"
"暗伤";"暗傷";"am3 soeng1";"内伤"
"罯土";"罯土";"ap1 tu2";"在植物的根部垒土，培土：种了树之后要～。"
"瓯仔";"甌仔";"au1 zai2";"小碗：帮舀一～饭畀我喂。"
"沤肥";"漚肥";"au3 fi4";"用水长时间浸泡禾秸、人畜粪便、污泥等物沤成肥料：捉啲屎屎尿尿存到留来～。"
"沤雨";"漚雨";"au3 ji2";"指回南天时的潮湿多雨：～沤了成只星期咯，抵力哦！"
"熰腍";"熰腍";"au3 nam4";"将食物用文火煮到软。"
"熰烂";"熰爛";"au3 laan4";"将食物用文火煮烂，或物品因长期闲置而腐坏。"
"熰融";"熰融";"au3 jung4";"同”熰烂“。"
